author,comment
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-zh6bm1hk8l
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">이게 내가 생각하는 진정한 팝스타 그냥 무대에 서있기만해도 아우라가 뿜어져 나오네</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @kyung_in
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">한국 내한이.... 매우 시급해요... 이걸 한국에서 듣는다..? 심장이 남아나질 않겠는데</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-jv1yk1sh6b
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">진짜 오랜만에 노래 듣고 전율을 느끼네 ㅎㅎ</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-pr9zr2ni4p
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input=""""><span class=""style-scope yt-formatted-string"" dir=""auto"">이 영상은 진짜 최고다 32살에 본게 아쉽다 느낄정도로....이제부터 매일 1일1회 봐야지 ㅎㅎ 영상 올려주셔서 너무 감사합니다 그리고 모두들 꿈을 이루시길 행복합시다</span><img alt=""♥"" class=""small-emoji emoji style-scope yt-formatted-string"" src=""https://www.youtube.com/s/gaming/emoji/7ff574f2/emoji_u2665.png""/><img alt=""♥"" class=""small-emoji emoji style-scope yt-formatted-string"" src=""https://www.youtube.com/s/gaming/emoji/7ff574f2/emoji_u2665.png""/><img alt=""♥"" class=""small-emoji emoji style-scope yt-formatted-string"" src=""https://www.youtube.com/s/gaming/emoji/7ff574f2/emoji_u2665.png""/></yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-oc1km1ld4d
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input=""""><span class=""style-scope yt-formatted-string"" dir=""auto"">진짜 벅차오름이란게 이런거지 ㅠㅠㅠ 그냥 이 영상속 모든게 행복해진다...</span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">노래를 듣고 무대는 보는 관객도 노래를 부르고 같이 뛰는 콜드플레이도 열심히 북치는 아저씨도</span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">모두 너무 행복하고 즐거워 보임. 에너지가 영상 너머 나한테까지 전해진다..크으으</span></yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-gg4ye6yp8o
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">노래도 노래지만 가사가 너무 예쁘게 느껴진다. 후렴 부분에서는 혁명을 일어난 듯한 느낌도 들고 폭군이었던 왕이 자신이 살아온 과거를 회상하며 서서히 죽어가는 느낌이 든다.. 빌런이 항상 당할 때 불쌍하게 느껴지는 이유가 이런 이유가 아닐까 하고 가사를 보다보면 슬픈 느낌도 든다. 저렇게 환호하며 콘서트를 즐길 수 있는 모습이 현재 상황에선 꿈도 꾸지 못할 일이라서 더 슬픈 것 같기도 하다.</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @intelak4965
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">빌보드 Hot 100 1위 축하합니다~!!!!!!!!</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-du4sw8ep6p
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">이것이야 말로 세기의 명곡</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-jc8ol7kf8j
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">공부하다가 생각나서 듣고있는데 진짜 최고의선택 너무좋아요 ㅠㅠㅠ</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-ze2zi2cr6y
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">많은 노래들을 들으며 눈물이 끊이지 않은적은 정말 많았지만 방금 이 노래를 처음 들었을때처럼 소름이 끊이지 않은적은 진짜 처음임. 노래로 최면을 건건지 진짜 내가 저 무대에 서있는것처럼 가슴에서 웅장함을 느끼고 저 사람에게 이입을해서 무대를 즐기는듯한 느낌이 들었음. 이걸 쓰는 와중에도 온몸에 소름이 가시질 않음.</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-fg9it2lw2n
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">아 진짜 그때 그 감성...그 팝송....ㅠㅠㅠ</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-qj4oc4eh7n
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">아무리 음치여도 모이면 아름다운 선율이 만들어진다</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @jinkim3479
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">진짜 개 웅장해서 소름...</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-sv6di2kk6r
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input=""""><span class=""style-scope yt-formatted-string"" dir=""auto"">A song that leads me when I'm tired and tired.</span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">Still in November 2021</span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">A song that causes people all over the world!</span></yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @leesc2825
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">아 와 진짜 미쳤다.....</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @sugarpremium4547
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">저렇게 꽉찬 스타디움에서 다시 뛸 수 있는날이 오기만을 기다린다... 스포츠든 노래든 게임이든 같이 다같이 모여서 즐기고 싶다 진짜</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-yx8dj9yx1l
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">역시 콜드플레이 짱입니다.^~^</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @R5dongja
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">인류의 흥망성쇠를 담은 노래</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-yo6lx9bv9w
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">웅장이 가슴해진다 ㄷㄷ</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @Tourismmj
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">I keep watching and listening to music!  Incredible!!!!</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @kyujin2902
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">비트자체가 심장을 울리는 명곡</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @lotus8625
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">와 이런거 실제로 가서 라이브로 보면 지리겠소.</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @hamzzi_GOD
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input=""""><span class=""style-scope yt-formatted-string"" dir=""auto"">진짜 볼때마다 웅장함...</span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">+ 인이어를 안끼고 하네 고인물인듯</span></yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-xn1pe8bf6u
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">더울때들으면 소름돋아서 시원해짐</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-lk2nx2ez4l
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input=""""><span class=""style-scope yt-formatted-string"" dir=""auto"">곡도 웅장한데 떼창도 웅장♡</span><img alt=""❤"" class=""small-emoji emoji style-scope yt-formatted-string"" src=""https://www.youtube.com/s/gaming/emoji/7ff574f2/emoji_u2764.png""/><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">멜로디가 어쩜 이럴수있나여?</span><img alt=""❤"" class=""small-emoji emoji style-scope yt-formatted-string"" src=""https://www.youtube.com/s/gaming/emoji/7ff574f2/emoji_u2764.png""/><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">최고 최고</span><img alt=""❤"" class=""small-emoji emoji style-scope yt-formatted-string"" src=""https://www.youtube.com/s/gaming/emoji/7ff574f2/emoji_u2764.png""/><img alt=""🤗"" class=""small-emoji emoji style-scope yt-formatted-string"" src=""https://www.youtube.com/s/gaming/emoji/7ff574f2/emoji_u1f917.png""/><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">나도 떼창하러 가고싶당~~</span><img alt=""💙"" class=""small-emoji emoji style-scope yt-formatted-string"" src=""https://www.youtube.com/s/gaming/emoji/7ff574f2/emoji_u1f499.png""/><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">내년 오시나요?</span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">아프지말고  얼릉 와주세요 </span><img alt=""❤"" class=""small-emoji emoji style-scope yt-formatted-string"" src=""https://www.youtube.com/s/gaming/emoji/7ff574f2/emoji_u2764.png""/><img alt=""💛"" class=""small-emoji emoji style-scope yt-formatted-string"" src=""https://www.youtube.com/s/gaming/emoji/7ff574f2/emoji_u1f49b.png""/><img alt=""💚"" class=""small-emoji emoji style-scope yt-formatted-string"" src=""https://www.youtube.com/s/gaming/emoji/7ff574f2/emoji_u1f49a.png""/><img alt=""💜"" class=""small-emoji emoji style-scope yt-formatted-string"" src=""https://www.youtube.com/s/gaming/emoji/7ff574f2/emoji_u1f49c.png""/></yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @junghyun7900
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">진심 멋지다</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-tt2oy2th7p
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input=""""><span class=""style-scope yt-formatted-string"" dir=""auto"">여러라이브영상중 이게 진짜 짱인듯</span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">무대며 가수며 관객이며 </span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">가사에 대한 해석이며</span></yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-nt5lr2qp6v
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input=""""><a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=HosW0gulISQ&amp;t=180s"" spellcheck=""false"">3:00</a><span class=""style-scope yt-formatted-string"" dir=""auto""> 폭군이 죽고 새로운 왕이 즉위하기를 기다리는 듯한 백성들의 함성소리 같다. 절규하는 폭군의 노래소리와 대비되는 그들의 환호성 그리고 그의 최후를 심판하는 듯한 종소리까지 예술 그 자체</span></yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @chabori3540
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input=""""><a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=HosW0gulISQ&amp;t=63s"" spellcheck=""false"">1:03</a><span class=""style-scope yt-formatted-string"" dir=""auto""> 이 분 열정이 느껴져서 너무 좋다.</span></yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @efff7342
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">들을 때마다 가슴 벅차게 하는 노래</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-ut5pf6uk3s
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">길고 힘든 여정을 시작할 때 가장 용기를 북돋아줄 노래.</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-re8ng7gw9r
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">나에겐 언제 들어도 명곡인 듯</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @seoeyo
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">와 미쳤다 작년 9월에 축제에서 어떤 학생이 바이올린으로 연주한 개띵곡 도입부가 며칠동안 귀에서 계속 맴돌아서 그 노래가 뭔지 몇날몇일을 찾았었는데 반년이 지난 지금에서야 샤워하면서 clocks 듣다가 자동재생으로 비바라비다로 넘어갔는데 들어보니까 그 노래가 콜드플레이 비바라비다였는지 알게 됐네 온몸에 소름 돋는다 진짜ㅠㅠㅠㅠㅠㅠㅠ 눈물난다 증말 ..</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @NOAH_0411
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input=""""><a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=HosW0gulISQ&amp;t=191s"" spellcheck=""false"">3:11</a><span class=""style-scope yt-formatted-string"" dir=""auto""> 쾌감 지린다 진짜..ㄷㄷ</span></yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-ec2ko1jw2v
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">크 콜플 뜨기전부터 들었는데 최정상에있는모습보니까 먼가 뭉클하다...</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @jamesvincent3314
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">4년 반 뒤에 이 노래를 즐겁게 들을 날이 오기를...</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-ik9en2ys6e
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">인류 문화의 정점 같다..</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-bv3vy8tj4d
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">음식은몰라도 밴드는 영국이확실함  비틀즈,퀸,오아시스,뮤즈,라디오헤드,콜드플레이 전세계를 뒤흔들어버림</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @sionjoe4223
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">라이브 쩐다.... 저렇게 움직여도 흔들리지 않아</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-ps8ut9ft4t
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input=""""><a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=HosW0gulISQ&amp;t=111s"" spellcheck=""false"">1:51</a><span class=""style-scope yt-formatted-string"" dir=""auto""> 왕관 벗는 퍼포먼스가 진짜 미쳤음</span></yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-bw4wh2pl8i
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">전주만 들어도 웅장하거 지리는 노래 ㅋㅋ</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @bbackgga100
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">듣고있는 모두가 승자 입니다. 인파속에서 나를 증명 할수있는 목소리!!  오오오오오~~</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @chilla7775
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">화려했던 과거에 대한 향수...2010년대를 이끌었던 정서가 아닐까 싶다...디즈니의 과거 명작에 대한 실사판의 흥행도 이에대한 증거라고 보임..</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-wz3dx4wl4r
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">아... 진짜 너무 좋아....</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-tr6fv9do8t
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">와 진짜 이노래는 백번 천번 들어도 질리지가 않아.. 진짜 가슴벅차오르고 내가 다 기쁨. 혹시 이런노래 알고 계신분 있으면 추천좀.. 개좋으면 넙쭉 절할께.(_ _)</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @doc1037
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">만약 외계문명에게 지구의 음악을 단 하나만 대표해서 들려줄 수 있다면 선택하고 싶은 곡.</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @YalliAlliAlisson
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">아 나도 콜드플레이 콘서트 가보고싶다ㅜㅜㅜㅜ</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-mn9uj7fx9c
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">며칠 전 쿠팡플레이 콜드플레이 콘서트 보고 다시 왔습니다. 온라인이었어도 저 음절 하나만 들어도 가슴이 뜨거워짐</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-sj3mv1rr1h
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">박자 단한번도 안틀리고 북치는 대머리 아저씨 넘 사랑스럽다</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-qi2qs5cc1f
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">가사존나좋다</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @habalagigoul3901
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input=""""><span class=""style-scope yt-formatted-string"" dir=""auto"">사실 2012년 여름에 '몰락한 왕국(Fallen Kingdom)'이라는 마인크 패러디 영상에서 처음 들었다가 2014년에 진짜 원곡을 알게 되었는데 ㅎㅎㅎ</span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">이젠 추억이 되어가는구나</span></yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-wf3cl2mx8o
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">2008년에 나왔다니... 나 두 살땐데...가슴이 웅장해진다</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-er7zf1tf6q
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">콘서트에서 떼창하기 가장좋은 노래</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @KNY0129
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">콘서트 가고 싶어 미쳐버리겠다 진짜</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-gg5ue2js9i
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">아름다운 멜로디와 시적인 의미를둔 가사까지.. 너무 아름답다</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-bn5yz2mz5n
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">작게 들리는 종소리가 진짜 은은하니 좋네요</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @SaNdS_ez
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">언제 들어도 좋다. 아직도 찾아 듣게 됨</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @jw_gardening_jopd
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">여기서 이런 댓글 본 것 같은데 수천명의 사람들이 마스크 안쓰고 따닥따닥 붙어서 같이 떼창하는게 그립다...근데 진짜 그립다,,,언제쯤 코로나 시국 이전의 일상으로 돌아갈 수 있을까...</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-hx9hq6sx3m
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">벅차다는 감정을 노래로 표현하면 이 곡이 아닐까</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @su-hv6ui
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input=""""><span class=""style-scope yt-formatted-string"" dir=""auto"">노래는 알지만 제목은 알지 못했던...</span><img alt=""🥲"" class=""small-emoji emoji style-scope yt-formatted-string"" src=""https://www.youtube.com/s/gaming/emoji/7ff574f2/emoji_u1f972.png""/><span class=""style-scope yt-formatted-string"" dir=""auto""> 아 노래 너무 좋다....ㅠ</span></yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @lookin7920
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input=""""><span class=""style-scope yt-formatted-string"" dir=""auto"">아 정말 이거 볼때마다</span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">코로나 이전이 너무 그리워 미치겠네ㅜㅜㅜ</span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">언젠가 코로나가 끝이 나고 콘서트가서 꼭 다같이 떼창하고싶다,,, 나너우리 모두 정말 고생했다고ㅜㅜ</span></yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @10to92
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">가사 너무 좋아~~</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @duckhoooo
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">세상에 좋은 노래 진짜 많은데 이 노래는 차원을 넘어선거같애 ㅜㅜㅜㅜ 먼가 인류를 향해 찬양하고 부르는노래같애 진짜 이 시대에 태어나서 이노래를 듣고 죽을수있어서 너무 행복하다. ㅠㅠㅠㅠㅠㅠㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜ</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @Junme999
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">이노래 진짜 웅장하고 들을때마다 전율미침 특히 북인가? 칠때 퉁퉁 거리는게 진짜 너무 전율이..어우</yt-formatted-string>"
